33.8958 33.8958
9.53319 -5.29622 1.01425
9.53319 -3.17773 0.99618
9.53319 -1.05924 1.01551
9.53319 1.05924 1.01404
9.53319 3.17773 1.01743
9.53319 5.29622 1.01141
9.53319 7.41471 1.00676
9.53319 9.53319 1.00323
9.53319 11.6517 0.994891
9.53319 13.7702 1.01761
9.53319 15.8887 1.01895
11.6517 -15.8887 0.991357
11.6517 -13.7702 0.992215
11.6517 -11.6517 0.999425
11.6517 -9.53319 0.997937
11.6517 -7.41471 1.01978
11.6517 -5.29622 0.987037
11.6517 -3.17773 0.980723
11.6517 -1.05924 0.999756
11.6517 1.05924 0.987153
11.6517 3.17773 0.994659
11.6517 5.29622 1.00977
11.6517 7.41471 1.00884
11.6517 9.53319 0.992322
11.6517 11.6517 1.0017
11.6517 13.7702 1.00035
11.6517 15.8887 1.00545
13.7702 -15.8887 0.990018
13.7702 -13.7702 1.00359
13.7702 -11.6517 1.01916
13.7702 -9.53319 0.99947
13.7702 -7.41471 1.01624
13.7702 -5.29622 0.997376
13.7702 -3.17773 0.994003
13.7702 -1.05924 1.0058
13.7702 1.05924 1.00676
13.7702 3.17773 1.01457
13.7702 5.29622 0.989207
13.7702 7.41471 0.999968
13.7702 9.53319 1.00288
13.7702 11.6517 1.01074
13.7702 13.7702 0.981744
13.7702 15.8887 1.01978
15.8887 -15.8887 0.998798
15.8887 -13.7702 0.991182
15.8887 -11.6517 1.01534
15.8887 -9.53319 1.00991
15.8887 -7.41471 1.01812
15.8887 -5.29622 0.99323
15.8887 -3.17773 1.00211
15.8887 -1.05924 1.00289
15.8887 1.05924 1.01921
15.8887 3.17773 0.983014
15.8887 5.29622 0.992228
15.8887 7.41471 0.987636
15.8887 9.53319 0.990739
15.8887 11.6517 0.999411
15.8887 13.7702 0.994907
15.8887 15.8887 0.995788
